id,code,name,user_type_id/id,chart_template_id:id,reconcile
12008001_account_id,12008001,ضمان رقم 1,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009_account_id,12009,العملاء,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009001_account_id,12009001,عملاء دورات شهرية,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009002_account_id,12009002,عملاء دورات ربع سنوية (3اشهر),account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009003_account_id,12009003,عملاء دورات نصف سنوية (6 اشهر),account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009004_account_id,12009004,عملاء دورات سنوية,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009005_account_id,12009005,عملاء دورات واشتراكات متنوعة,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
12009006_account_id,12009006,عملاء العروض,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
2_account_id,2,الالتزامات,account.data_account_type_equity,account_arabic_coa_general,FALSE
21_account_id,21,حقوق الملكية,account.data_account_type_equity,account_arabic_coa_general,FALSE
21001_account_id,21001,راس المال,account.data_account_type_equity,account_arabic_coa_general,FALSE
21001001_account_id,21001001,راس المال,account.data_account_type_equity,account_arabic_coa_general,FALSE
21002_account_id,21002,جارى المالك,account.data_account_type_equity,account_arabic_coa_general,FALSE
21002001_account_id,21002001,جارى الأستاذ محمد شربينى,account.data_account_type_equity,account_arabic_coa_general,FALSE
21003_account_id,21003,أرباح العام,account.data_account_type_equity,account_arabic_coa_general,FALSE
21003001_account_id,21003001,أرباح العام,account.data_unaffected_earnings,account_arabic_coa_general,FALSE
21004_account_id,21004,الأرباح المبقاه,account.data_account_type_equity,account_arabic_coa_general,FALSE
21004001_account_id,21004001,الأرباح المبقاه,account.data_account_type_equity,account_arabic_coa_general,FALSE
21005_account_id,21005,الاحتياطي العام,account.data_account_type_equity,account_arabic_coa_general,FALSE
21005001_account_id,21005001,الاحتياطي العام,account.data_account_type_equity,account_arabic_coa_general,FALSE
22_account_id,22,الخصوم الأخرى,account.data_account_type_payable,account_arabic_coa_general,FALSE
22001_account_id,22001,الدائنون,account.data_account_type_payable,account_arabic_coa_general,FALSE
22001001_account_id,22001001,دائن 1,account.data_account_type_payable,account_arabic_coa_general,FALSE
22002_account_id,22002,الموردون,account.data_account_type_payable,account_arabic_coa_general,FALSE
22002001_account_id,22002001,شركة 1,account.data_account_type_payable,account_arabic_coa_general,FALSE
22002002_account_id,22002002,شركة 2,account.data_account_type_payable,account_arabic_coa_general,FALSE
22003_account_id,22003,مستحفات العاملين,account.data_account_type_current_liabilities,account_arabic_coa_general,FALSE
22003001_account_id,22003001,موظف 1,account.data_account_type_current_liabilities,account_arabic_coa_general,FALSE
22003002_account_id,22003002,موظف 2,account.data_account_type_current_liabilities,account_arabic_coa_general,FALSE
22003003_account_id,22003003,موظف 3,account.data_account_type_current_liabilities,account_arabic_coa_general,FALSE
22003003_account_id,22003003,موظف 3,account.data_account_type_current_liabilities,account_arabic_coa_general,FALSE
22004_account_id,22004,مخصص الاستهلاك,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004001_account_id,22004001,مخصص استهلاك مبانى,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004002_account_id,22004002,مخصص استهلاك أجهزة حاسب الى,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004003_account_id,22004003,مخصص استهلاك السيارات,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004004_account_id,22004004,مخصص استهلاك لوحات إعلانية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004005_account_id,22004005,مخصص استهلاك اثاث ومفروشات,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004006_account_id,22004006,مخصص استهلاك أجهزة كهربائة,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004007_account_id,22004007,مخصص استهلاك مكيفات فريون,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004008_account_id,22004008,مخصص استهلاك مكيفات صحراوية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004009_account_id,22004009,مخصص استهلاك مكيفات مركزية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004010_account_id,22004010,مخصص استهلاك اثاث وتجهيزات مكتبية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004011_account_id,22004011,مخصص استهلاك خزن حديدية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004012_account_id,22004012,مخصص استهلاك تكييفات مركزية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004013_account_id,22004013,مخصص استهلاك أجهزة رياضية,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004014_account_id,22004014,مخصص استهلاك رفوف ومطابخ,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004015_account_id,22004015,مخصص إطفاء برامج,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22004016_account_id,22004016,مخصص إطفاء تحسينات في الماجور,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
22005_account_id,22005,مخصص الزكاة الشرعية,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22005001_account_id,22005001,مخصص الزكاة الشرعية,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22006_account_id,22006,مخصص بدل اجازات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22006001_account_id,22006001,مخصص بدل اجازات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22007_account_id,22007,مخصص مكافاة نهاية الخدمة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22007001_account_id,22007001,مخصص مكافاة نهاية الخدمة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22008_account_id,22008,ارصدة دائنة أخرى,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22008001_account_id,22008001,ارصدة دائنة أخرى,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22009_account_id,22009,الأطراف ذات العلاقة الدائنة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22009001_account_id,22009001,طرف ذات علاقة 1,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22009002_account_id,22009002,طرف ذات علاقة 2,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22009003_account_id,22009003,طرف ذات علاقة 3,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22010_account_id,22010,ضريبة القيمة المضافة على الإيرادات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22010001_account_id,22010001,ضريبة القيمة المضافة على الإيرادات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22011_account_id,22011,تسويات ضريبة القيمة المضافة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
22011001_account_id,22011001,تسويات ضريبة القيمة المضافة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
3_account_id,3,المصروفات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31_account_id,31,تكلفة الايراد,account.data_account_type_direct_costs,account_arabic_coa_general,FALSE
31001_account_id,31001,الرواتب,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31001001_account_id,31001001,مصروفات الرواتب,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31002_account_id,31002,الإيجارات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31002001_account_id,31002001,مصروف الإيجارات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31003_account_id,31003,مصاريف سيارات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31003001_account_id,31003001,مصاريف سيارات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31004_account_id,31004,بدل اجازات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31004001_account_id,31004001,بدل اجازات,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31005_account_id,31005,بدل السفر,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31005001_account_id,31005001,بدل السفر,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31006_account_id,31006,مكافاة نهاية خدمة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31006001_account_id,31006001,مكافاة نهاية خدمة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
31007_account_id,31007,مصاريف صيانة عامة,account.data_account_type_expenses,account_arabic_coa_general,FALSE
