id,code,name,user_type_id/id,chart_template_id:id,reconcile
12009005,12009005,عملاء دورات واشتراكات متنوعة ,account.data_account_type_current_assets,account_arabic_coa_general,TRUE
12009006,12009006,عملاء العروض ,account.data_account_type_current_assets,account_arabic_coa_general,TRUE
21001,21001,راس المال ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21001001,21001001,راس المال ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21002,21002,جارى المالك ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21002001,21002001,جارى الأستاذ محمد شربينى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21003,21003,أرباح العام ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21003001,21003001,أرباح العام ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21004,21004,الأرباح المبقاه ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21004001,21004001,الأرباح المبقاه ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21005,21005,الاحتياطي العام ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
21005001,21005001,الاحتياطي العام ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22001,22001,الدائنون ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22001001,22001001,دائن 1,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22002,22002,الموردون ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22002001,22002001,شركة 1,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22002002,22002002,شركة 2,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22003,22003,مستحفات العاملين ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22003001,22003001,موظف 1,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22003002,22003002,موظف 2,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22003003,22003003,موظف 3,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004,22004,مخصص الاستهلاك ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004001,22004001,مخصص استهلاك مبانى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004002,22004002,مخصص استهلاك أجهزة حاسب الى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004003,22004003,مخصص استهلاك السيارات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004004,22004004,مخصص استهلاك لوحات إعلانية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004005,22004005,مخصص استهلاك اثاث ومفروشات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004006,22004006,مخصص استهلاك أجهزة كهربائة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004007,22004007,مخصص استهلاك مكيفات فريون ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004008,22004008,مخصص استهلاك مكيفات صحراوية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004009,22004009,مخصص استهلاك مكيفات مركزية,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004010,22004010,مخصص استهلاك اثاث وتجهيزات مكتبية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004011,22004011,مخصص استهلاك خزن حديدية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004012,22004012,مخصص استهلاك تكييفات مركزية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004013,22004013,مخصص استهلاك أجهزة رياضية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004014,22004014,مخصص استهلاك رفوف ومطابخ ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004015,22004015,مخصص إطفاء برامج ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22004016,22004016,مخصص إطفاء تحسينات في الماجور ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22005,22005,مخصص الزكاة الشرعية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22005001,22005001,مخصص الزكاة الشرعية ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22006,22006,مخصص بدل اجازات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22006001,22006001,مخصص بدل اجازات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22007,22007,مخصص مكافاة نهاية الخدمة,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22007001,22007001,مخصص مكافاة نهاية الخدمة,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22008,22008,ارصدة دائنة أخرى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22008001,22008001,ارصدة دائنة أخرى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22009,22009,الأطراف ذات العلاقة الدائنة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22009001,22009001,طرف ذات علاقة 1,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22009002,22009002,طرف ذات علاقة 2,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22009003,22009003,طرف ذات علاقة 3,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22010,22010,ضريبة القيمة المضافة على الإيرادات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22010001,22010001,ضريبة القيمة المضافة على الإيرادات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22011,22011,تسويات ضريبة القيمة المضافة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
22011001,22011001,تسويات ضريبة القيمة المضافة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31001,31001,الرواتب ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31001001,31001001,مصروفات الرواتب ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31002,31002,الإيجارات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31002001,31002001,مصروف الإيجارات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31003,31003,مصاريف سيارات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31003001,31003001,مصاريف سيارات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31004,31004,بدل اجازات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31004001,31004001,بدل اجازات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31005,31005,بدل السفر ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31005001,31005001,بدل السفر ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31006,31006,مكافاة نهاية خدمة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31006001,31006001,مكافاة نهاية خدمة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31007,31007,مصاريف صيانة عامة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31007001,31007001,مصاريف صيانة عامة ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31008,31008,مصاريف حاسب الى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31008001,31008001,مصاريف حاسب الى ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31009,31009,رسوم واشتراكات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
31009001,31009001,رسوم واشتراكات ,account.data_account_type_fixed_assets,account_arabic_coa_general,TRUE
